reward_id,reward_name,points,matched,confidence,ambiguous,match_score,trainer_db_id,trainer_db_name,location_preview,normal_team_preview,hardcore_team_preview
erika,Erika (Celadon City),2,true,high,true,165,65,Leader Erika,Celadon City Gym [stage=9],Ogerpon Lv103 | Meowscarada Lv103 | Hawlucha Lv103 | Sinistcha Lv103 | Lilligant Lv103 | Venusaur Lv103,Meowscarada Lv103 | Serperior Lv103 | Hawlucha Lv103 | Kartana Lv103 | Magearna Lv103 | Ampharos Lv103
rocket_guard_game_corner,Rocket Guard (Game Corner),1,true,manual,false,999,357,Team Rocket Grunt,Celadon City Game Corner [stage=5],Hypno Lv102 | Aerodactyl Lv102 | Granbull Lv101 | Obstagoon Lv101,Hypno Lv103 | Aerodactyl Lv102 | Tinkaton Lv102 | Inteleon Lv102
left_guard_rocket_hideout,Left Guard (Rocket Hideout),1,true,manual,false,999,366,Team Rocket Grunt,Rocket Hideout B4F [stage=5],Weezing Lv101 | Slaking Lv101 | Crobat Lv101 | Dipplin Lv101,Weezing Lv103 | Slaking Lv103 | Lilligant Lv103 | Rotom Lv103
right_guard_rocket_hideout,Right Guard (Rocket Hideout),1,true,manual,false,999,367,Team Rocket Grunt,Rocket Hideout B4F [stage=5],Talonflame Lv102 | Shiftry Lv101 | Toxicroak Lv101 | Eelektross Lv102,Talonflame Lv103 | Shiftry Lv103 | Okidogi Lv103 | Rotom Lv103
giovannia_rocket_hideout,Giovannia (Rocket Hideout),2,true,medium,false,85,348,Boss Giovanni,Rocket Hideout B4F [stage=5],Nidoking Lv45 | Honchkrow Lv45 | Infernape Lv46 | Kangaskhan Lv46 | Orthworm Lv47 | Veluza Lv46,Infernape Lv47 | Nidoking Lv47 | Torterra Lv47 | Orthworm Lv47 | Gyarados Lv47 | Kangaskhan Lv47
ace_cole,Ace Cole (Route 8),1,true,high,false,130,18,PkMn Trainer Cole,Route 8 [stage=8],Yanmega Lv103 | Tyrantrum Lv103 | Weezing Lv103 | Ferrothorn Lv103 | Gastrodon Lv103 | Centiskorch Lv103,Druddigon Lv103 | Moltres Lv103 | Tapu Fini Lv103 | Landorus Lv103 | Ferrothorn Lv103 | Centiskorch Lv103
beauty_sam,Beauty Sam (Celadon City Hotel),1,true,high,false,130,16,PkMn Trainer Sam,Celadon City Hotel [stage=8],Luvdisc Lv103 | Flapple Lv103 | Farfetch’d Lv103,Tapu Koko Lv103 | Hitmonlee Lv103 | Vaporeon Lv103 | Flapple Lv103
beauty_shelly,Beauty Shelly (Celadon City Hotel),1,true,high,false,120,17,PkMn Trainer Shelly,Celadon City Hotel [stage=8],Dodrio Lv103 | Granbull Lv103 | Appletun Lv103 | Cinccino Lv103,Dodrio Lv103 | Klinklang Lv103 | Cinderace Lv103 | Appletun Lv103
ghost_pokemon_tower,Ghost (Pokemon Tower),1,true,high,false,175,2001,Ghost,Pokemon Tower 6F [stage=6],Marowak Lv58,Marowak Lv58
rival_silph_co,Rival (Silph Co.),1,true,medium,true,85,432,Rival Blue,Silph Co. 7F [stage=6],Staraptor Lv101 | Kingambit Lv102 | Jumpluff Lv102 | Darmanitan Lv102 | Blastoise Lv103,Azelf Lv103 | Celesteela Lv103 | Electivire Lv103 | Jumpluff Lv103 | Darmanitan Lv103 | Blastoise Lv103
admin_ariana_archer_silph,Admin Ariana & Archer (Silph Co.),1,true,high,true,115,,,,,
giovanni,Giovanni (Silph Co.),2,true,medium,false,85,349,Boss Giovanni,Silph Co. 11F [stage=7],Hippowdon Lv56 | Excadrill Lv57 | Kangaskhan Lv57 | Garganacl Lv57 | Garchomp Lv57 | Torterra Lv56,Mamoswine Lv57 | Dracovish Lv57 | Gyarados Lv57 | Garganacl Lv57 | Excadrill Lv57 | Garchomp Lv57
chuck,Chuck (Saffron City),2,true,high,false,165,317,Leader Chuck,Saffron City Fighting Dojo [stage=3],Hitmontop Lv103 | Sneasler Lv103 | Breloom Lv103 | Quaquaval Lv103 | Lucario Lv103 | Gallade Lv103,Iron Crown Lv103 | Sneasler Lv103 | Kommo-o Lv103 | Annihilape Lv103 | Zamazenta Lv103 | Gallade Lv103
sabrina,Sabrina (Saffron City),2,true,high,false,165,420,Leader Sabrina,Saffron City Gym [stage=8],Hatterene Lv57 | Indeedee Lv57 | Brute Bonnet Lv58 | Porygon2 Lv58 | Ursaluna Lv59 | Gardevoir Lv59,Tapu Fini Lv59 | Camerupt Lv59 | Glastrier Lv59 | Magearna Lv59 | Iron Hands Lv59 | Jellicent Lv59
dumass_kid,Dumass Kid (Saffron City),1,true,high,false,132,25,Dumbass Kid,Saffron City Gian's House 1F [stage=8],Swampert Lv103 | Pelipper Lv103 | Scizor Lv103 | Frosmoth Lv103 | Seaking Lv103 | Swampert Lv103,Beartic Lv103 | Zapdos Lv103 | Frosmoth Lv103 | Goodra Lv103 | Scizor Lv103 | Swampert Lv103
rocker_luca,Rocker Luca (Route 12),1,true,high,false,175,285,Rocker Luca,Route 12 [stage=9],Piloswine Lv104 | Heliolisk Lv104 | Nidoqueen Lv104 | Yanmega Lv104 | Walrein Lv104,Rotom Lv101 | Tornadus Lv101 | Nidoqueen Lv101 | Yanmega Lv101 | Blastoise Lv101 | Walrein Lv101
camper_justin,Camper Justin (Route 12),1,true,high,false,175,477,Camper Justin,Route 12 [stage=3],Darmanitan Lv104 | Sandslash Lv104 | Conkeldurr Lv104,Darmanitan Lv101 | Cetitan Lv101 | Conkeldurr Lv101 | Gengar Lv101
fisherman_andrew,Fisherman Andrew (Route 12),1,true,high,false,175,233,Fisherman Andrew,Route 12 [stage=9],Froslass Lv104 | Arctozolt Lv104,Froslass Lv101 | Barbaracle Lv101 | Baxcalibur Lv101
bird_keeper_sebastian,Bird Keeper Sebastian (Route 13),1,true,high,false,175,300,Bird Keeper Sebastian,Route 13 [stage=9],Gliscor Lv101 | Charizard Lv104 | Togekiss Lv104 | Tropius Lv104,Landorus Lv101 | Charizard Lv101 | Togekiss Lv101 | Blaziken Lv101 | Tropius Lv101
picknicker_susie,Picknicker Susie (Route 13),1,true,high,false,175,467,Picnicker Susie,Route 13 [stage=9],Shiftry Lv104 | Goodra Lv104 | Espeon Lv104 | Arcanine Lv104 | Alcremie Lv104,Shiftry Lv101 | Goodra Lv101 | Sylveon Lv101 | Heatran Lv101 | Alcremie Lv101
picknicker_alma,Picknicker Alma (Route 13),1,true,high,false,175,466,Picnicker Alma,Route 13 [stage=9],Tangrowth Lv104 | Chansey Lv104 | Chandelure Lv104 | Altaria Lv104,Krookodile Lv101 | Tangrowth Lv101 | Chansey Lv101 | Chandelure Lv101 | Altaria Lv101
lola_and_sheila,Lola & Sheila (Route 13),1,true,high,true,112,,,,,
bird_keeper_perry,Bird Keeper Perry (Route 13),1,true,high,false,175,301,Bird Keeper Perry,Route 13 [stage=9],Rhyperior Lv104 | Gardevoir Lv104 | Rapidash Lv104 | Dragapult Lv104,Rhyperior Lv101 | Sunflora Lv101 | Ogerpon Lv101 | Rapidash Lv101 | Dragapult Lv101
biker_jared,Biker Jared (Route 13),1,true,high,false,175,195,Biker Jared,Route 13 [stage=9],Crustle Lv104 | Leavanny Lv104 | Camerupt Lv104 | Mamoswine Lv104,Crustle Lv101 | Leavanny Lv101 | Camerupt Lv101 | Eelektross Lv101 | Mamoswine Lv101
bird_keeper_robert,Bird Keeper Robert (Route 13),1,true,high,false,165,302,Bird Keeper Robert,Route 13 [stage=9],Exeggutor Lv104 | Archeops Lv104 | Emboar Lv104 | Jolteon Lv104,Exeggutor Lv101 | Archeops Lv101 | Emboar Lv101 | Jolteon Lv101 | Druddigon Lv101
ace_haley,Ace Haley (Route 15),1,true,high,false,130,15,PkMn Trainer Haley,Route 15 [stage=9],Magnezone Lv103 | Hawlucha Lv103 | Magmortar Lv103 | Cursola Lv103 | Starmie Lv103 | Sandaconda Lv103,Silvally Lv103 | Escavalier Lv103 | Hawlucha Lv103 | Starmie Lv103 | Cursola Lv103 | Sandaconda Lv103
biker_lao,Biker Lao (Route 16),1,true,high,false,175,199,Biker Lao,Route 16 [stage=9],Mienshao Lv104 | Heliolisk Lv104 | Dugtrio Lv104,Mienshao Lv104 | Heliolisk Lv101 | Dugtrio Lv101
cue_ball_koji,Cue Ball Koji (Route 16),1,true,high,false,175,249,Cue Ball Koji,Route 16 [stage=9],Dracozolt Lv104,Kingler Lv101 | Dracozolt Lv101
cue_ball_luke,Cue Ball Luke (Route 16),1,true,high,false,175,250,Cue Ball Luke,Route 16 [stage=9],Dugtrio Lv104 | Hariyama Lv104,Zygarde Lv101 | Hariyama Lv102 | Golem Lv101
biker_ruben,Biker Ruben (Route 16),1,true,high,false,175,202,Biker Ruben,Route 16 [stage=9],Accelgor Lv104 | Gigalith Lv104 | Roserade Lv104 | Houndstone Lv101,Accelgor Lv104 | Excadrill Lv101 | Gigalith Lv101 | Roserade Lv101 | Lopunny Lv101
cue_ball_camron,Cue Ball Camron (Route 16),1,true,high,false,175,251,Cue Ball Camron,Route 16 [stage=9],Swampert Lv104 | Revavroom Lv104 | Scizor Lv104 | Cacturne Lv104,Swampert Lv104 | Aerodactyl Lv101 | Scizor Lv101 | Garchomp Lv101 | Cacturne Lv101
biker_hideo,Biker Hideo (Route 16),1,true,high,false,175,201,Biker Hideo,Route 16 [stage=9],Stunfisk Lv101 | Dracovish Lv104 | Beedrill Lv104 | Greninja Lv104 | Aron Lv1,Stunfisk Lv104 | Dracovish Lv101 | Beedrill Lv101 | Rotom Lv101 | Greninja Lv101 | Aron Lv1
biker_william,Biker William (Route 18),1,true,high,false,175,206,Biker William,Route 18 [stage=9],Magnezone Lv104 | Whiscash Lv104 | Salamence Lv104 | Starmie Lv104,Magnezone Lv104 | Bisharp Lv101 | Whiscash Lv101 | Salamence Lv101 | Starmie Lv101
bird_keeper_jacob,Bird Keeper Jacob (Route 18),1,true,high,false,175,309,Bird Keeper Jacob,Route 18 [stage=9],Cramorant Lv103 | Decidueye Lv104 | Mantine Lv104 | Nidoqueen Lv104,Cramorant Lv103 | Ogerpon Lv101 | Porygon2 Lv101 | Raikou Lv101 | Nidoqueen Lv101
tamer_ramiro,Tamer Ramiro (Route 18),1,true,medium,false,88,308,Dragon Tamer Ramiro,Route 18 [stage=9],Pikachu Lv101 | Milotic Lv101 | Lapras Lv101 | Goodra Lv104,Regice Lv101 | Milotic Lv101 | Lapras Lv101 | Latias Lv101 | Dragonite Lv101
ace_wilton,Ace Wilton (Route 18),1,true,high,false,138,307,Ace Trainer Wilton,Route 18 [stage=9],Dragapult Lv104 | Kilowattrel Lv104 | Pinsir Lv104 | Omastar Lv104,Dragapult Lv101 | Kabutops Lv101 | Pinsir Lv101 | Omastar Lv101 | Kilowattrel Lv101
brendan_safari_zone,Brendan (Safari Zone),1,true,high,true,127,26,PkMn Trainer Brendan,Route 23 [stage=15],Deoxys Lv81 | Jirachi Lv81 | Landorus Lv82 | Zapdos Lv81 | Huntail Lv81 | Sceptile Lv82,Tyrantrum Lv103 | Marowak Lv103 | Empoleon Lv103 | Landorus Lv103 | Ursaluna Lv103 | Sceptile Lv103
brock_rematch,Brock (Rematch) (Pewter City),2,true,high,true,165,56,Leader Brock,Pewter City Gym [stage=9],Great Tusk Lv103 | Omastar Lv103 | Ursaluna Lv103 | Tyranitar Lv103 | Arcanine Lv103 | Aerodactyl Lv103,Iron Boulder Lv103 | Landorus Lv103 | Zygarde Lv103 | Iron Treads Lv103 | Ursaluna Lv103 | Aerodactyl Lv103
misty_rematch,Misty (Rematch) (Cerulean City),2,true,high,true,165,32,Leader Misty,Cerulean City Gym [stage=17],Pikachu Lv103 | Kyogre Lv103 | Goodra Lv103 | Kingdra Lv103 | Drednaw Lv103 | Floatzel Lv103,Pikachu Lv103 | Kyogre Lv103 | Goodra Lv103 | Kingdra Lv103 | Drednaw Lv103 | Floatzel Lv103
lt_surge_rematch,Lt. Surge (Rematch) (Vermillion City),2,true,high,true,168,51,Leader Lt. Surge,Vermilion City Gym [stage=9],Iron Treads Lv103 | Bellibolt Lv103 | Rotom Lv103 | Pawmot Lv103 | Manectric Lv103 | Iron Hands Lv103,Pawmot Lv103 | Iron Thorns Lv103 | Iron Moth Lv103 | Iron Hands Lv103 | Miraidon Lv103 | Manectric Lv103
erika_rematch,Erika (Rematch) (Celadon City),2,true,high,true,165,65,Leader Erika,Celadon City Gym [stage=9],Ogerpon Lv103 | Meowscarada Lv103 | Hawlucha Lv103 | Sinistcha Lv103 | Lilligant Lv103 | Venusaur Lv103,Meowscarada Lv103 | Serperior Lv103 | Hawlucha Lv103 | Kartana Lv103 | Magearna Lv103 | Ampharos Lv103
koga,Koga (Fushsia City),2,true,high,false,165,418,Leader Koga,Fuchsia City Gym [stage=9],Swellow Lv67 | Accelgor Lv68 | Greninja Lv68 | Drapion Lv68 | Iron Valiant Lv68 | Toxtricity Lv68,Tapu Lele Lv68 | Hoopa Lv68 | Krookodile Lv68 | Chi-Yu Lv68 | Nidoking Lv68 | Toxtricity Lv68
dumass_jojo_fan,Dumass Jojo Fan (Power Plant),1,true,high,false,135,66,Dumbass Jojo Fan,Power Plant [stage=10],Hoopa Lv103 | Aegislash Lv103 | Ogerpon Lv103 | Simisear Lv103 | Celebi Lv103 | Machamp Lv103,Hoopa Lv103 | Aegislash Lv103 | Ogerpon Lv103 | Simisear Lv103 | Celebi Lv103 | Machamp Lv103
pryce,Pryce (Seafoam Islands),2,true,high,false,165,79,Leader Pryce,Seafoam Islands Kyogre's Chamber [stage=17],Abomasnow Lv103 | Calyrex Lv103 | Kyurem Lv103 | Wishiwashi Lv103 | Donphan Lv103 | Heracross Lv103,Abomasnow Lv103 | Calyrex Lv103 | Kyurem Lv103 | Wishiwashi Lv103 | Donphan Lv103 | Heracross Lv103
may_cinnabar,May (Cinnabar Island),1,true,high,false,162,61,PkMn Trainer May,Cinnabar Island [stage=10],Solrock Lv71 | Breloom Lv71 | Manectric Lv72 | Relicanth Lv72 | Flygon Lv72 | Blaziken Lv73,Aggron Lv73 | Jumpluff Lv73 | Regieleki Lv73 | Slowbro Lv73 | Snorlax Lv73 | Blaziken Lv73
jasmine,Jasmine (Cinnabar Island Lab),2,true,high,true,165,62,Leader Jasmine,Cinnabar Island Lab [stage=10],Steelix Lv103 | Melmetal Lv103 | Duraludon Lv103 | Durant Lv103 | Samurott Lv103 | Aggron Lv103,Gliscor Lv103 | Tapu Bulu Lv103 | Necrozma Lv103 | Genesect Lv103 | Magnezone Lv103 | Aggron Lv103
ace_derek,Ace Derek (Cinnabar Island Gym),1,true,high,false,138,179,Ace Trainer Derek,Cinnabar Island Gym [stage=11],Mienshao Lv101 | Arcanine Lv104 | Rhyperior Lv104 | Centiskorch Lv101 | Sunflora Lv101,Zapdos Lv103 | Arcanine Lv103 | Rhyperior Lv103 | Delphox Lv103 | Centiskorch Lv103
ace_lucy,Ace Lucy (Cinnabar Island Gym),1,true,high,false,138,215,Ace Trainer Lucy,Cinnabar Island Gym [stage=11],Lycanroc Lv104 | Darmanitan Lv104 | Gliscor Lv104 | Ursaluna Lv101 | Charizard Lv104,Lycanroc Lv103 | Darmanitan Lv103 | Gliscor Lv103 | Raging Bolt Lv103 | Charizard Lv103
ace_zac,Ace Zac (Cinnabar Island Gym),1,true,high,false,138,180,Ace Trainer Zac,Cinnabar Island Gym [stage=11],Nidoking Lv101 | Noivern Lv104 | Braviary Lv101 | Excadrill Lv104 | Volcarona Lv101,Cinderace Lv103 | Salamence Lv103 | Braviary Lv103 | Excadrill Lv103 | Volcarona Lv103
blaine,Blaine (Cinnabar Island),2,true,high,false,165,419,Leader Blaine,Cinnabar Island Gym [stage=11],Armarouge Lv75 | Slither Wing Lv76 | Exeggutor Lv76 | Typhlosion Lv76 | Ogerpon Lv76 | Charizard Lv76,Sandy Shocks Lv76 | Great Tusk Lv76 | Walking Wake Lv76 | Venusaur Lv76 | Ho-Oh Lv76 | Charizard Lv76
admin_archer_cerulean_cave,Admin Archer (Cerulean Cave),1,true,high,false,168,67,Rocket Admin Archer,Cerulean Cave 1F [stage=12],Mamoswine Lv77 | Durant Lv78 | Mimikyu Lv79 | Houndoom Lv79,Ninetales Lv103 | Exeggutor Lv103 | Landorus Lv103 | Houndoom Lv103 | Sunflora Lv103
admin_ariana_cerulean_cave,Admin Ariana (Cerulean Cave),1,true,high,false,158,68,Rocket Admin Ariana,Cerulean Cave 1F [stage=12],Hatterene Lv77 | Rhyperior Lv78 | Honchkrow Lv78 | Mawile Lv79,Wailord Lv103 | Espeon Lv103 | Buzzwole Lv103 | Mawile Lv103
giovanni_cerulean_cave,Giovanni (Cerulean Cave),2,true,medium,false,85,69,Boss Giovanni,Cerulean Cave B1F [stage=13],Tapu Lele Lv80 | Scrafty Lv80 | Excadrill Lv80 | Tyranitar Lv80 | Celesteela Lv80 | Mewtwo Lv80,Spiritomb Lv80 | Delphox Lv80 | Silvally Lv80 | Moltres Lv80 | Genesect Lv80 | Mewtwo Lv80
black_belt_ketchup,Black Belt Ketchup (Cerulean Cave),1,true,high,true,129,19,PkMn Trainer Ketchup,Cerulean Cave 2F [stage=14],Cloyster Lv103 | Chandelure Lv103 | Ampharos Lv103 | Tapu Bulu Lv103 | Urshifu Lv103 | Urshifu Lv103,Necrozma Lv103 | Thundurus Lv103 | Magmortar Lv103 | Banette Lv103 | Urshifu Lv103 | Urshifu Lv103
clair,Clair (Viridian City),2,true,high,true,165,38,Leader Clair,Viridian City Gym [stage=17],Dragapult Lv103 | Dialga Lv103 | Dragonite Lv103 | Flapple Lv103 | Kyurem Lv103 | Genesect Lv103,Dragapult Lv103 | Dialga Lv103 | Dragonite Lv103 | Flapple Lv103 | Kyurem Lv103 | Genesect Lv103
burglar_max,Burglar Max (Pokemon Mansion 4F),1,true,high,false,175,454,Burglar Max,Pokemon Mansion 4F [stage=15],Qwilfish Lv101 | Wugtrio Lv101 | Magcargo Lv101 | Hydrapple Lv101 | Fezandipiti Lv101,Qwilfish Lv101 | Wugtrio Lv101 | Magcargo Lv101 | Hydrapple Lv101 | Fezandipiti Lv101
burglar_anson,Burglar Anson (Pokemon Mansion 4F),1,true,high,false,175,455,Burglar Anson,Pokemon Mansion 4F [stage=15],Shiftry Lv101 | Okidogi Lv101 | Munkidori Lv101 | Scream Tail Lv101 | Persian Lv101,Shiftry Lv101 | Okidogi Lv101 | Munkidori Lv101 | Scream Tail Lv101 | Persian Lv101
rival_rematch_route_22,Rival (Rematch) (Route 22),1,true,medium,true,85,329,Rival Blue,Route 22 [stage=0],Starly Lv9 | Squirtle Lv9,Snubbull Lv102 | Litleo Lv102 | Squirtle Lv103
brendan_route_23,Brendan (Route 23),1,true,high,false,162,26,PkMn Trainer Brendan,Route 23 [stage=15],Deoxys Lv81 | Jirachi Lv81 | Landorus Lv82 | Zapdos Lv81 | Huntail Lv81 | Sceptile Lv82,Tyrantrum Lv103 | Marowak Lv103 | Empoleon Lv103 | Landorus Lv103 | Ursaluna Lv103 | Sceptile Lv103
ace_naomi,Ace Naomi (Victory Road),1,true,high,false,138,406,Ace Trainer Naomi,Victory Road 1F [stage=16],Maushold Lv101 | Veluza Lv101 | Shedinja Lv101 | Absol Lv101 | Galvantula Lv101,Maushold Lv103 | Veluza Lv103 | Shedinja Lv103 | Absol Lv103 | Galvantula Lv103 | Blacephalon Lv103
ace_rolando,Ace Rolando (Victory Road),1,true,high,false,138,396,Ace Trainer Rolando,Victory Road 1F [stage=16],Cyclizar Lv101 | Flygon Lv101 | Crobat Lv101 | Kingler Lv101 | Hatterene Lv101,Cyclizar Lv103 | Volcanion Lv103 | Flygon Lv103 | Crobat Lv103 | Kingler Lv103 | Hatterene Lv103
ace_george,Ace George (Victory Road),1,true,high,false,138,393,Ace Trainer George,Victory Road 3F [stage=16],Exeggutor Lv83 | Donphan Lv84 | Cloyster Lv84 | Mienshao Lv84 | Pinsir Lv84,Metagross Lv103 | Starmie Lv103 | Pangoro Lv103 | Espeon Lv103 | Tauros Lv103 | Pinsir Lv103
ace_caroline,Ace Caroline (Victory Road),1,true,high,false,138,403,Ace Trainer Caroline,Victory Road 3F [stage=16],Bellossom Lv83 | Parasect Lv83 | Vileplume Lv83 | Amoonguss Lv83 | Lopunny Lv84,Lopunny Lv103 | Bellossom Lv103 | Stakataka Lv103 | Morpeko Lv103 | Latias Lv103 | Simisear Lv103
ace_colby,Ace Colby (Victory Road),1,true,high,false,138,394,Ace Trainer Colby,Victory Road 3F [stage=16],Feraligatr Lv83 | Swanna Lv83 | Walrein Lv83 | Sharpedo Lv84 | Empoleon Lv84,Arcanine Lv103 | Diancie Lv103 | Iron Leaves Lv103 | Muk Lv103 | Mismagius Lv103 | Grapploct Lv103
